,File,Area,Density1,Density2
30,./20240321_140300_322/Plate000_Well3_Object4.tif_projection.tif,5807203,875,912
39,./20240321_140300_322/Plate000_Well1_Object0.tif_projection.tif,4040263,362,380
40,./20240321_140300_322/Plate000_Well2_Object6.tif_projection.tif,4728239,76,80
47,./20240321_140300_322/Plate000_Well1_Object4.tif_projection.tif,4215295,392,405
52,./20240321_140300_322/Plate000_Well3_Object3.tif_projection.tif,3661790,276,285
53,./20240321_140300_322/Plate000_Well3_Object1.tif_projection.tif,5153509,1003,1036
68,./20240321_140300_322/Plate000_Well3_Object2.tif_projection.tif,5564607,419,433
76,./20240321_140300_322/Plate000_Well2_Object5.tif_projection.tif,4540480,199,211
78,./20240321_140300_322/Plate000_Well2_Object4.tif_projection.tif,5780026,182,188
81,./20240321_140300_322/Plate000_Well2_Object0.tif_projection.tif,5491713,171,181
95,./20240321_140300_322/Plate000_Well1_Object7.tif_projection.tif,3326552,223,229
101,./20240321_140300_322/Plate000_Well4_Object1.tif_projection.tif,5319979,1565,1692
110,./20240321_140300_322/Plate000_Well3_Object6.tif_projection.tif,4619466,862,880
143,./20240321_140300_322/Plate000_Well3_Object5.tif_projection.tif,3951362,398,407
147,./20240321_140300_322/Plate000_Well4_Object7.tif_projection.tif,6369536,1972,2103
170,./20240321_140300_322/Plate000_Well1_Object3.tif_projection.tif,4080173,370,381
172,./20240321_140300_322/Plate000_Well4_Object4.tif_projection.tif,5132201,1588,1685
177,./20240321_140300_322/Plate000_Well4_Object6.tif_projection.tif,5207912,2325,2514
182,./20240321_140300_322/Plate000_Well3_Object7.tif_projection.tif,4161388,353,359
202,./20240321_140300_322/Plate000_Well4_Object3.tif_projection.tif,4794670,1809,1930
206,./20240321_140300_322/Plate000_Well4_Object2.tif_projection.tif,5305356,1578,1676
207,./20240321_140300_322/Plate000_Well2_Object1.tif_projection.tif,6354888,118,127
213,./20240321_140300_322/Plate000_Well1_Object10.tif_projection.tif,3842789,573,584
216,./20240321_140300_322/Plate000_Well1_Object2.tif_projection.tif,4095986,334,342
227,./20240321_140300_322/Plate000_Well1_Object6.tif_projection.tif,3633885,488,508
229,./20240321_140300_322/Plate000_Well3_Object0.tif_projection.tif,5315709,655,679
230,./20240321_140300_322/Plate000_Well1_Object5.tif_projection.tif,3616762,274,280
245,./20240321_140300_322/Plate000_Well2_Object3.tif_projection.tif,4590861,89,93
255,./20240321_140300_322/Plate000_Well2_Object7.tif_projection.tif,4739388,97,105
258,./20240321_140300_322/Plate000_Well4_Object0.tif_projection.tif,6924812,1765,1913
263,./20240321_140300_322/Plate000_Well2_Object2.tif_projection.tif,5190885,172,182
265,./20240321_140300_322/Plate000_Well4_Object5.tif_projection.tif,5281152,1990,2130
266,./20240321_140300_322/Plate000_Well1_Object9.tif_projection.tif,3777370,475,486
267,./20240321_140300_322/Plate000_Well1_Object1.tif_projection.tif,4688313,396,408
284,./20240321_140300_322/Plate000_Well1_Object8.tif_projection.tif,5191437,472,485
298,./20240402_081806_268/Plate000_Well1_Object0.tif_projection.tif,3657504,173,183
299,./20240402_081806_268/Plate000_Well1_Object1.tif_projection.tif,4496747,303,316
300,./20240402_081806_268/Plate000_Well1_Object2.tif_projection.tif,3873438,149,154
301,./20240402_081806_268/Plate000_Well1_Object3.tif_projection.tif,2844663,143,150
302,./20240402_081806_268/Plate000_Well1_Object4.tif_projection.tif,3389491,149,157
303,./20240402_081806_268/Plate000_Well1_Object5.tif_projection.tif,3623182,148,154
304,./20240402_081806_268/Plate000_Well1_Object6.tif_projection.tif,4459196,257,266
305,./20240402_081806_268/Plate000_Well1_Object7.tif_projection.tif,4216357,149,155
